,City,State,CBSA Code,CBSA Title
412,Frankfort,Indiana,23140,"Frankfort, IN"
413,Frankfort,Kentucky,23180,"Frankfort, KY"
414,Fredericksburg,Texas,23240,"Fredericksburg, TX"
415,Freeport,Illinois,23300,"Freeport, IL"
416,Fremont,Nebraska,23340,"Fremont, NE"
417,Fremont,Ohio,23380,"Fremont, OH"
418,Fresno,California,23420,"Fresno, CA"
419,Gadsden,Alabama,23460,"Gadsden, AL"
420,Gaffney,South Carolina,23500,"Gaffney, SC"
421,Gainesville,Florida,23540,"Gainesville, FL"
422,Gainesville,Georgia,23580,"Gainesville, GA"
423,Gainesville,Texas,23620,"Gainesville, TX"
424,Galesburg,Illinois,23660,"Galesburg, IL"
425,Gallup,New Mexico,23700,"Gallup, NM"
426,Garden City,Kansas,23780,"Garden City, KS"
427,Gardnerville Ranchos,Nevada,23820,"Gardnerville Ranchos, NV"
428,Georgetown,South Carolina,23860,"Georgetown, SC"
429,Gettysburg,Pennsylvania,23900,"Gettysburg, PA"
430,Gillette,Wyoming,23940,"Gillette, WY"
431,Glasgow,Kentucky,23980,"Glasgow, KY"
432,Glens Falls,New York,24020,"Glens Falls, NY"
433,Glenwood Springs,Colorado,24060,"Glenwood Springs, CO"
434,Gloversville,New York,24100,"Gloversville, NY"
435,Goldsboro,North Carolina,24140,"Goldsboro, NC"
436,Grand Forks,North Dakota,24220,"Grand Forks, ND-MN"
437,Grand Island,Nebraska,24260,"Grand Island, NE"
438,Grand Junction,Colorado,24300,"Grand Junction, CO"
439,Grand Rapids,Minnesota,24330,"Grand Rapids, MN"
440,Grand Rapids,Michigan,24340,"Grand Rapids-Wyoming, MI"
441,Wyoming,Michigan,24340,"Grand Rapids-Wyoming, MI"
442,Grants,New Mexico,24380,"Grants, NM"
443,Grants Pass,Oregon,24420,"Grants Pass, OR"
444,Great Bend,Kansas,24460,"Great Bend, KS"
445,Great Falls,Montana,24500,"Great Falls, MT"
446,Greeley,Colorado,24540,"Greeley, CO"
447,Green Bay,Wisconsin,24580,"Green Bay, WI"
448,Greeneville,Tennessee,24620,"Greeneville, TN"
449,Greenfield Town,Massachusetts,24640,"Greenfield Town, MA"
450,Greensboro,North Carolina,24660,"Greensboro-High Point, NC"
451,High Point,North Carolina,24660,"Greensboro-High Point, NC"
452,Greensburg,Indiana,24700,"Greensburg, IN"
453,Greenville,Mississippi,24740,"Greenville, MS"
454,Greenville,North Carolina,24780,"Greenville, NC"
455,Greenville,Ohio,24820,"Greenville, OH"
456,Anderson,South Carolina,24860,"Greenville-Anderson-Mauldin, SC"
457,Easley,South Carolina,24860,"Greenville-Anderson-Mauldin, SC"
458,Greenville,South Carolina,24860,"Greenville-Anderson-Mauldin, SC"
459,Mauldin,South Carolina,24860,"Greenville-Anderson-Mauldin, SC"
460,Greenwood,Mississippi,24900,"Greenwood, MS"
